Código,"Nome da Empresa","Setor de Atuação","Receita Total"
1,"Wal-Mart Stores, Inc.",Varejo,485873
2,"Berkshire Hathaway Inc.",Finanças,223604
3,"Apple, Inc.",Tecnologia,215639
4,"Exxon Mobil Corporation",Energia,205004
5,"McKesson Corporation",Atacadista,192487
6,"UnitedHealth Group Incorporated","Assistência médica",184840
7,"CVS Health Corporation","Assistência médica",177526
8,"General Motors Company","Veículos motorizados",166380
9,"AT&T Inc.",Telecomunicações,163786
10,"Ford Motor Company","Veículos motorizados",151800
11,"AmerisourceBergen Corp.",Atacadista,146850
12,"Amazon.com, Inc.",Tecnologia,135987
13,"General Electric Company",Industrial,126661
14,"Verizon Communications Inc.",Telecomunicações,125980
15,"Cardinal Health, Inc.",Atacadista,121546
16,"Costco Wholesale Corporation",Varejo,118719
17,"Walgreens Boots Alliance, Inc","Lojas e Drogarias",117351
18,"The Kroger Company","Lojas e Drogarias",115337
19,"Chevron Corporation",Energia,107567
20,"Fannie Mae",Finanças,107162
21,"JPMorgan Chase & Co.",Finanças,105486
22,"Express Scripts Holding Company","Assistência médica",100288
23,"The Home Depot, Inc.",Varejo,94595
24,"The Boeing Company","Aeroespacial e Defesa",94571
25,"Wells Fargo & Company",Finanças,94176
26,"Bank of America Corporation",Finanças,93662
27,"Alphabet Inc.",Tecnologia,90272
28,"Microsoft Corporation",Tecnologia,85320
29,"Anthem, Inc.","Assistência médica",84863
30,"Citigroup Inc.",Finanças,82386
31,"Comcast Corporation",Telecomunicações,80403
32,"International Business Machines Corporation",Tecnologia,79919
33,"State Farm Insurance Cos.",Finanças,76132
34,"Phillips 66",Energia,72396
35,"Johnson & Johnson","Assistência médica",71890
36,"The Procter & Gamble Company","Produtos para o lar",71726
37,"Valero Energy Corporation",Energia,70166
38,"Target Corporation",Varejo,69495
39,"Freddie Mac",Finanças,65665
40,"Lowe's Companies, Inc.",Varejo,65017
41,"Dell Technologies Inc.",Tecnologia,64806
42,"MetLife, Inc.",Finanças,63476
43,"Aetna Inc.","Assistência médica",63155
44,"PepsiCo, Inc.","Alimentos, Bebidas e Tabaco",62799
45,"Archer-Daniels-Midland Company","Alimentos, Bebidas e Tabaco",62346
46,"United Parcel Service, Inc.",Transporte,60906
47,"Intel Corporation",Tecnologia,59387
48,"Prudential Financial, Inc.",Finanças,58779
49,"Albertsons Companies, Inc.","Lojas e Drogarias",58734
50,"United Technologies Corporation","Aeroespacial e Defesa",57244
51,"Marathon Petroleum Corporation",Energia,55858
52,"The Walt Disney Company",Midia,55632
53,"Humana Inc.","Assistência médica",54379
54,"Pfizer Inc.","Assistência médica",52824
55,"American International Group, Inc.",Finanças,52367
56,"Lockheed Martin Corporation","Aeroespacial e Defesa",50658
57,"Sysco Corporation",Atacadista,50367
58,"FedEx Corporation",Transporte,50365
59,"Hewlett Packard Enterprise Company",Tecnologia,50123
60,"Cisco Systems, Inc.",Tecnologia,49247
61,"HP Inc.",Tecnologia,48238
62,"The Dow Chemical Company","Produtos químicos",48158
63,"HCA Holdings, Inc.","Assistência médica",44747
64,"The Coca-Cola Company","Alimentos, Bebidas e Tabaco",41863
65,"New York Life Insurance Company",Finanças,40787
66,"Centene Corporation","Assistência médica",40721
67,"American Airlines Group Inc.",Transporte,40180
68,"Nationwide Mutual Insurance Co.",Finanças,40074
69,"Merck & Co., Inc.","Assistência médica",39807
70,"CIGNA Corporation","Assistência médica",39668
71,"Delta Air Lines, Inc.",Transporte,39639
72,"Best Buy Co., Inc.",Varejo,39403
73,"Honeywell International Inc.",Industrial,39302
74,"Caterpillar Inc.",Industrial,38537
75,"Liberty Mutual Holding Company Inc.",Finanças,38308
76,"Morgan Stanley",Finanças,37949
77,"Massachusetts Mutual Life Insurance Company",Finanças,37788
78,"The Goldman Sachs Group, Inc.",Finanças,37712
79,"Energy Transfer Equity, L.P.",Energia,37504
80,"Teachers Insurance and Annuity Association",Finanças,37105
81,"Oracle Corporation",Tecnologia,37047
82,"Tyson Foods, Inc.","Alimentos, Bebidas e Tabaco",36881
83,"United Continental Holdings, Inc.",Transporte,36556
84,"The Allstate Corporation",Finanças,36534
85,"Publix Super Markets, Inc.","Lojas e Drogarias",34274
86,"American Express Company",Finanças,33823
87,"The TJX Companies, Inc.",Varejo,33184
88,"Nike, Inc.",Roupas,32376
89,"Exelon Corporation",Energia,31360
90,"General Dynamics Corporation","Aeroespacial e Defesa",31353
91,"Rite Aid Corporation","Lojas e Drogarias",30737
92,"Gilead Sciences, Inc.","Assistência médica",30390
93,"CHS Inc.","Alimentos, Bebidas e Tabaco",30347
94,"3M Company",Industrial,30109
95,"Time Warner Inc.",Midia,29318
96,"Charter Communications, Inc.",Telecomunicações,29003
97,"Northwestern Mutual Life Insurance Company, Inc.",Finanças,28799
98,"Facebook, Inc.",Tecnologia,27638
99,"The Travelers Companies, Inc.",Finanças,27625
100,"Capital One Financial Corporation",Finanças,27519
101,"Twenty-First Century Fox, Inc.",Midia,27326
102,"United Services Automobile Association",Finanças,27131
103,"World Fuel Services Corporation",Energia,27016
104,"Philip Morris International Inc.","Alimentos, Bebidas e Tabaco",26685
105,"Deere & Company",Industrial,26644
106,"The Kraft Heinz Company","Alimentos, Bebidas e Tabaco",26487
107,"Tech Data Corporation",Atacadista,26235
108,"Avnet, Inc.",Atacadista,26219
109,"Mondelez International, Inc.","Alimentos, Bebidas e Tabaco",25923
110,"Macy's, Inc.",Varejo,25778
111,"AbbVie Inc.","Assistência médica",25638
112,"McDonald's Corporation","Hotéis, Restaurantes e Lazer",24622
